player,pie,followers,salary
Brandon Clarke,0.134,40850,4343919
Brandon Ingram,0.134,335721,31650600
Darius Garland,0.134,93389,8920794
Moses Brown,0.135,1157,714723
De'Aaron Fox,0.135,308069,30351780
Paul George,0.135,2465390,42492492
Clint Capela,0.136,95132,18706896
Bobby Portis,0.137,179929,10843350
Karl-Anthony Towns,0.138,730046,33833400
Jalen Brunson,0.138,100117,27733332
DeMar DeRozan,0.139,779372,27300000
Rudy Gobert,0.139,608972,38172414
Bam Adebayo,0.142,227945,30351780
Nikola Vučević,0.142,176624,22000000
Kristaps Porziņģis,0.143,367381,33833400
Christian Wood,0.145,68286,14317459
Trae Young,0.145,1726476,37096500
Kyrie Irving,0.146,4812836,38917057
Donovan Mitchell,0.146,1429632,30913750
Deandre Ayton,0.147,170500,30913750
Julius Randle,0.148,0,23760000
Jarrell Brantley,0.149,4702,105522
Devin Booker,0.149,1272774,33833400
Jonathan Isaac,0.153,112871,17400000
Andre Drummond,0.153,840450,3200000
Lauri Markkanen,0.155,120397,16475454
Tyrese Haliburton,0.159,106020,4215120
Kawhi Leonard,0.162,501461,42492492
Domantas Sabonis,0.162,50807,18500000
James Harden,0.163,7777853,33000000
Jayson Tatum,0.165,1263915,30351780
Steph Curry,0.167,17375509,48070014
Zion Williamson,0.171,487435,13534817
Damian Lillard,0.173,3219264,42492492
LeBron James,0.174,52823969,44474988
Jimmy Butler,0.175,893920,37653300
Shai Gilgeous-Alexander,0.175,140942,30913750
Ja Morant,0.179,2687787,12119440
Dylan Windler,0.182,16020,4037277
Boban Marjanovic,0.183,121575,4101478
Kevin Durant,0.188,20869210,44119845
Anthony Davis,0.189,2244365,37980720
Giannis Antetokounmpo,0.204,2955863,42492492
Luka Dončić,0.204,1850312,37096500
Nikola Jokić,0.212,0,33047803
Joel Embiid,0.215,2148535,33616770
